"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jerry Jeudy","CLE","WR30","0.3","4.8","0.0","83.1","1,126.6","4.2","0.6","137.4"
"Deebo Samuel Sr.","WAS","WR31","29.2","124.1","1.3","65.8","836.0","5.1","1.0","132.4"
"Ricky Pearsall","SF","WR32","7.0","54.0","0.3","67.4","910.4","5.9","0.6","132.4"
"Jaylen Waddle","MIA","WR33","2.8","16.4","0.1","78.0","996.2","5.0","0.5","130.7"
"Jaylen Warren","PIT","RB29","149.5","668.5","3.6","49.9","362.5","1.2","1.1","129.5"
"Jacory Croskey-Merritt","WAS","RB30","163.8","693.0","5.8","22.8","180.1","1.3","0.9","127.9"
"Matthew Golden","GB","WR34","0.5","9.4","0.0","65.4","908.0","6.1","0.8","126.8"
"Travis Hunter","JAC","WR35","3.8","21.7","0.1","71.8","930.7","5.4","0.8","126.5"
"Rome Odunze","CHI","WR36","1.3","8.0","0.0","68.9","922.6","5.6","0.9","125.2"
"Austin Ekeler","WAS","RB31","108.7","487.6","4.7","47.2","385.5","1.8","1.4","123.4"
"Jauan Jennings","SF","WR37","2.4","10.8","0.1","68.7","899.7","5.4","0.6","122.9"
"Jakobi Meyers","LV","WR38","1.2","8.7","0.0","78.0","909.7","4.9","0.5","120.3"
"Sam LaPorta","DET","TE4","0.0","0.0","0.0","70.1","788.1","7.0","0.4","119.9"
"Zach Charbonnet","SEA","RB32","135.9","586.4","4.9","36.2","268.2","1.0","0.8","119.3"
"Chris Olave","NO","WR39","0.3","2.6","0.0","75.4","944.2","4.4","0.9","118.9"
"Keon Coleman","BUF","WR40","0.3","3.8","0.0","52.5","824.8","6.1","0.5","118.6"
"Cooper Kupp","SEA","WR41","1.3","9.2","0.0","75.2","850.1","5.6","0.6","118.5"
"Stefon Diggs","NE","WR42","1.3","6.9","0.2","77.6","855.5","5.3","0.5","118.1"
"J.K. Dobbins","DEN","RB33","147.1","655.3","4.8","29.6","190.2","1.2","1.2","117.9"
"Jordan Mason","MIN","RB34","164.2","755.7","4.7","16.3","119.2","0.5","0.7","117.1"
"Javonte Williams","DAL","RB35","168.2","644.6","4.4","34.4","220.2","0.9","0.6","116.9"
"Emeka Egbuka","TB","WR43","1.6","11.5","0.0","65.9","835.2","5.7","1.1","116.9"
"Rashid Shaheed","NO","WR44","8.0","46.7","0.1","55.8","844.4","4.7","1.2","115.8"
"Mark Andrews","BAL","TE5","0.0","2.0","0.0","59.1","702.7","7.7","0.8","115.0"
"Jordan Addison","MIN","WR45","0.9","6.6","0.2","58.0","760.2","6.1","0.4","113.5"
"Rhamondre Stevenson","NE","RB36","153.8","623.8","5.0","27.8","177.0","1.1","1.5","113.5"
"Darnell Mooney","ATL","WR46","0.0","1.5","0.0","61.1","864.2","4.6","0.5","113.1"
"Michael Pittman Jr.","IND","WR47","0.3","2.0","0.0","78.4","887.5","4.2","0.9","112.5"
"Travis Etienne Jr.","JAC","RB37","140.2","573.4","3.8","37.0","273.7","1.1","0.8","112.3"
"Jayden Reed","GB","WR48","11.0","79.7","0.7","52.8","706.1","5.2","0.9","112.1"
"Joe Mixon","HOU","RB38","143.4","570.0","4.9","24.7","198.0","1.1","0.8","111.4"
"Chris Godwin Jr.","TB","WR49","1.6","8.1","0.0","67.9","787.3","5.1","0.6","109.2"
"Khalil Shakir","BUF","WR50","0.5","3.0","0.0","71.2","804.9","4.9","0.6","108.9"
"Travis Kelce","KC","TE6","0.0","0.5","0.0","81.5","778.5","5.3","0.9","107.9"
"Marvin Mims Jr.","DEN","WR51","11.9","49.7","0.1","53.0","700.8","5.4","0.6","107.0"
