"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Cade Stover","HOU","TE54","0.0","0.0","0.0","17.0","161.6","1.2","0.0","23.5"
"Elijah Moore","BUF","WR126","0.0","1.3","0.0","14.5","159.8","1.2","0.0","23.4"
"Adam Trautman","DEN","TE55","0.0","0.0","0.0","13.6","147.4","1.5","0.0","23.4"
"Xavier Hutchinson","HOU","WR127","0.0","0.0","0.0","14.7","173.8","1.0","0.1","23.2"
"Jalen Royals","KC","WR128","0.0","2.5","0.0","13.9","156.7","1.2","0.0","22.9"
"Kyle Juszczyk","SF","RB94","5.9","24.2","0.3","14.6","139.9","0.8","0.4","22.8"
"Mack Hollins","NE","WR129","0.0","1.7","0.0","12.4","154.0","1.1","0.0","22.2"
"KhaDarel Hodge","ATL","WR130","0.0","2.0","0.0","12.3","162.2","1.0","0.1","22.2"
"Brashard Smith","KC","RB95","14.4","91.4","0.6","8.5","63.1","0.5","0.0","21.8"
"Jalin Hyatt","NYG","WR131","0.0","0.0","0.0","12.1","161.1","0.9","0.0","21.3"
"Julian Hill","MIA","TE56","0.0","0.0","0.0","17.2","154.5","1.1","0.4","21.2"
"Kalel Mullings","TEN","RB96","28.5","118.9","0.9","4.2","32.3","0.1","0.0","20.9"
"Arian Smith","NYJ","WR132","0.0","5.5","0.0","13.4","160.8","0.7","0.0","20.9"
"Luke Schoonmaker","DAL","TE57","0.0","0.0","0.0","14.9","132.5","1.2","0.0","20.1"
"Luke McCaffrey","WAS","WR133","0.0","1.0","0.0","13.3","137.2","1.0","0.1","19.8"
"Kimani Vidal","LAC","RB97","39.6","95.1","0.5","6.5","49.6","0.4","0.0","19.7"
"Charlie Woerner","ATL","TE58","0.0","0.0","0.0","13.9","132.7","1.0","0.0","19.5"
"Jeremy Ruckert","NYJ","TE59","0.0","0.0","0.0","16.3","140.2","0.9","0.0","19.4"
"Payne Durham","TB","TE60","0.0","0.0","0.0","12.0","117.5","1.3","0.0","19.4"
"Emari Demercado","ARI","RB98","18.7","106.3","0.4","8.1","54.1","0.1","0.0","19.1"
"Grant Calcaterra","PHI","TE61","0.0","0.0","0.0","12.4","136.5","0.9","0.0","18.8"
"Robert Woods","PIT","WR134","0.0","0.0","0.0","12.0","120.0","1.0","0.0","18.0"
"Tai Felton","MIN","WR135","0.0","1.7","0.0","10.3","120.3","1.0","0.0","18.0"
"Ty Chandler","MIN","RB99","19.3","97.3","0.7","4.9","34.7","0.1","0.0","17.9"
"Jeremy McNichols","WAS","RB100","21.9","92.9","1.1","2.7","15.3","0.0","0.0","17.7"
"Elijah Higgins","ARI","TE62","0.0","0.0","0.0","11.4","110.6","1.1","0.0","17.4"
"Marquez Valdes-Scantling","SF","WR136","0.0","2.0","0.0","7.0","112.0","1.0","0.0","17.4"
"Daniel Bellinger","NYG","TE63","0.0","0.0","0.0","14.0","131.2","0.7","0.0","17.0"
"Tyquan Thornton","KC","WR137","0.0","0.0","0.0","8.0","115.1","0.9","0.0","16.6"
"Darnell Washington","PIT","TE64","0.0","0.0","0.0","12.3","123.2","0.7","0.0","16.6"
"Johnny Mundt","JAC","TE65","0.0","0.0","0.0","13.4","115.2","0.8","0.0","16.5"
"Blake Whiteheart","CLE","TE66","0.0","0.0","0.0","11.8","117.6","0.7","0.0","16.2"
"Savion Williams","GB","WR138","4.4","19.4","0.1","7.6","89.4","0.8","0.0","16.0"
"George Holani","SEA","RB101","8.8","98.1","0.6","3.0","21.9","0.0","0.0","15.8"
"Colby Parkinson","LAR","TE67","0.0","0.0","0.0","10.6","106.9","0.9","0.0","15.8"
"Connor Heyward","PIT","TE68","0.0","0.0","0.0","10.1","87.4","1.2","0.0","15.7"
"Jake Briningstool","KC","TE69","0.0","0.0","0.0","10.0","94.0","1.0","0.0","15.4"
"Skyy Moore","SF","WR139","0.0","0.0","0.0","9.0","110.7","0.7","0.0","15.2"
"Drew Ogletree","IND","TE70","0.0","0.0","0.0","7.6","97.0","0.8","0.0","14.7"
"Tim Patrick","JAC","WR140","0.0","0.0","0.0","8.6","104.5","0.7","0.0","14.5"
"Tylan Wallace","BAL","WR141","0.0","1.7","0.0","6.8","88.3","0.9","0.0","14.2"
"Stone Smartt","NYJ","TE71","0.0","0.0","0.0","8.9","96.3","0.8","0.3","13.6"
"Teagan Quitoriano","ATL","TE72","0.0","0.0","0.0","6.4","99.5","0.6","0.0","13.4"
"Jaylin Lane","WAS","WR142","2.2","13.5","0.1","6.9","79.6","0.5","0.1","13.2"
"Taysom Hill","NO","TE73","0.0","50.0","1.0","2.3","22.0","0.0","0.0","13.2"
"LeQuint Allen Jr.","JAC","RB102","17.0","60.6","0.7","3.5","25.4","0.1","0.0","13.1"
"Casey Washington","ATL","WR143","0.0","0.0","0.0","7.5","90.5","0.7","0.0","13.1"
"Drew Sample","CIN","TE74","0.0","0.0","0.0","10.4","82.9","0.8","0.0","12.8"
"Sterling Shepard","TB","WR144","0.8","7.0","0.0","8.0","83.1","0.5","0.0","12.3"
"Craig Reynolds","DET","RB103","8.5","38.0","0.1","6.9","55.0","0.4","0.0","12.2"
"Nate Adkins","DEN","TE75","0.0","0.0","0.0","7.0","55.3","1.1","0.0","12.1"
"Jimmy Horn Jr.","CAR","WR145","0.0","0.0","0.0","6.8","84.4","0.6","0.0","12.0"
"Lucas Krull","DEN","TE76","0.0","0.0","0.0","9.5","85.7","0.6","0.0","12.0"
"Alec Ingold","MIA","RB104","9.0","21.7","0.6","6.1","44.1","0.4","0.4","11.7"
"KeAndre Lambert-Smith","LAC","WR146","0.0","3.0","0.0","5.9","77.7","0.6","0.0","11.4"
"Bo Melton","GB","WR147","0.0","0.0","0.0","6.6","79.3","0.6","0.0","11.4"
"Devontez Walker","BAL","WR148","0.0","1.7","0.0","5.3","71.4","0.7","0.0","11.3"
"Moliki Matavao","NO","TE77","0.0","0.0","0.0","7.6","74.5","0.6","0.0","11.2"
"Travis Homer","CHI","RB105","19.5","63.5","0.3","3.4","25.4","0.1","0.0","11.2"
"Brevyn Spann-Ford","DAL","TE78","0.0","0.0","0.0","7.8","74.6","0.6","0.0","11.2"
"Devin Culp","TB","TE79","0.0","0.0","0.0","6.8","73.0","0.6","0.0","11.1"
"Tanner Conner","MIA","TE80","0.0","0.0","0.0","8.6","69.1","0.7","0.0","10.8"
"John Bates","WAS","TE81","0.0","0.0","0.0","7.8","74.3","0.5","0.0","10.6"
"Jamal Agnew","ATL","WR149","0.0","0.0","0.0","6.8","70.1","0.6","0.0","10.4"
"Phil Mafah","DAL","RB106","0.0","61.5","0.5","1.5","11.0","0.0","0.0","10.3"
"Xavier Restrepo","TEN","WR150","0.0","2.0","0.0","4.0","40.0","1.0","0.0","10.2"
"C.J. Ham","MIN","RB107","2.2","10.4","1.0","3.6","25.8","0.0","0.0","9.9"
"Xavier Gipson","NYJ","WR151","0.0","3.7","0.0","7.5","82.1","0.4","0.5","9.9"
"Trey Palmer","NO","WR152","0.0","2.0","0.0","6.6","77.5","0.3","0.0","9.9"
"Jordan James","SF","RB108","18.2","63.0","0.4","1.0","12.0","0.0","0.0","9.8"
"Hunter Long","JAC","TE82","0.0","0.0","0.0","8.4","76.0","0.4","0.0","9.8"
"Raheim Sanders","CLE","RB109","14.0","56.0","0.5","1.5","11.5","0.0","0.0","9.8"
"Irvin Charles","NYJ","WR153","0.0","0.0","0.0","6.5","69.7","0.5","0.0","9.7"
"Malik Heath","GB","WR154","0.0","2.0","0.0","5.8","66.7","0.5","0.0","9.6"
"Gavin Bartholomew","MIN","TE83","0.0","0.0","0.0","5.5","59.5","0.6","0.0","9.4"
"Cody White","SEA","WR155","0.0","0.0","0.0","5.5","67.6","0.4","0.0","9.2"
"Kenny Yeboah","DET","TE84","0.0","0.0","0.0","5.9","60.2","0.5","0.0","8.9"
"John Metchie III","PHI","WR156","0.0","0.0","0.0","6.3","68.9","0.3","0.0","8.7"
"Eric Saubert","SEA","TE85","0.0","0.0","0.0","6.8","60.2","0.5","0.0","8.7"
"Travis Vokolek","ARI","TE86","0.0","0.0","0.0","5.5","55.5","0.5","0.0","8.6"
"Tip Reiman","ARI","TE87","0.0","0.0","0.0","6.6","60.4","0.4","0.0","8.5"
"Charlie Kolar","BAL","TE88","0.0","0.5","0.0","4.9","60.0","0.4","0.0","8.4"
"Dare Ogunbowale","HOU","RB110","4.0","31.2","0.1","5.3","40.1","0.2","0.0","8.3"
"Ian Thomas","LV","TE89","0.0","0.0","0.0","6.6","58.8","0.4","0.0","8.3"
"Luke Farrell","SF","TE90","0.0","0.0","0.0","6.1","59.1","0.4","0.0","8.2"
"Mitchell Evans","CAR","TE91","0.0","0.0","0.0","6.3","59.7","0.4","0.0","8.2"
"Thomas Fidone II","NYG","TE92","0.0","0.0","0.0","5.5","52.0","0.5","0.0","8.2"
"Cam Grandy","CIN","TE93","0.0","0.0","0.0","6.2","54.3","0.4","0.0","8.1"
"Ben Sims","GB","TE94","0.0","0.0","0.0","5.0","51.0","0.5","0.0","8.1"
"Jackson Hawes","BUF","TE95","0.0","0.0","0.0","5.3","57.2","0.4","0.0","8.0"
"Tyler Johnson","NYJ","WR157","0.0","0.0","0.0","7.0","80.0","0.0","0.0","8.0"
"Efton Chism III","NE","WR158","0.0","0.0","0.0","4.8","56.3","0.4","0.0","7.9"
"Dareke Young","SEA","WR159","0.0","0.0","0.0","4.7","57.5","0.4","0.0","7.9"
"Mason Tipton","NO","WR160","0.0","0.0","0.0","5.3","55.6","0.4","0.0","7.7"
"Jelani Woods","NYJ","TE96","0.0","0.0","0.0","3.5","46.5","0.5","0.0","7.7"
"Jared Wiley","KC","TE97","0.0","0.0","0.0","5.4","53.1","0.4","0.0","7.6"
"Nathan Carter","ATL","RB111","9.3","39.0","0.3","2.1","14.2","0.1","0.1","7.6"
"Derius Davis","LAC","WR161","10.5","35.5","0.2","2.8","31.2","0.1","0.6","7.5"
"Trent Sherfield Sr.","DEN","WR162","0.0","0.0","0.0","4.4","53.2","0.4","0.0","7.4"
"Patrick Ricard","BAL","RB112","4.1","11.5","0.1","3.4","27.4","0.5","0.0","7.4"
"Chris Manhertz","NYG","TE98","0.0","0.0","0.0","4.9","44.3","0.4","0.0","6.7"
"Durham Smythe","CHI","TE99","0.0","0.0","0.0","5.4","45.8","0.4","0.0","6.7"
"Terrell Jennings","NE","RB113","4.8","20.1","0.1","3.9","29.7","0.2","0.0","6.7"
"Tez Johnson","TB","WR163","0.0","0.0","0.0","4.0","49.4","0.2","0.0","6.3"
"Ben Skowronek","PIT","WR164","0.0","0.0","0.0","4.1","44.5","0.3","0.0","6.1"
"Eric Gray","NYG","RB114","11.8","42.6","0.2","1.9","14.5","0.1","0.5","6.0"
"Xavier Weaver","ARI","WR165","0.0","0.0","0.0","3.4","40.3","0.3","0.0","5.8"
"Zonovan Knight","ARI","RB115","4.6","19.5","0.1","3.2","22.8","0.1","0.0","5.8"
"Justin Watson","HOU","WR166","0.0","0.0","0.0","3.4","45.3","0.2","0.0","5.8"
"Will Mallory","IND","TE100","0.0","0.0","0.0","3.9","38.8","0.3","0.0","5.8"
"Jordan Watkins","SF","WR167","0.0","2.5","0.0","3.0","42.7","0.2","0.0","5.6"
"Scotty Miller","PIT","WR168","0.0","0.0","0.0","3.9","47.1","0.1","0.0","5.4"
"Charlie Jones","CIN","WR169","0.0","1.7","0.0","3.4","39.6","0.2","0.0","5.4"
"Kylen Granson","PHI","TE101","0.0","0.0","0.0","4.0","45.4","0.1","0.0","5.3"
"David Martin-Robinson","TEN","TE102","0.0","0.0","0.0","3.7","37.2","0.3","0.0","5.2"
"Bryce Oliver","TEN","WR170","0.0","0.0","0.0","3.4","38.2","0.2","0.0","5.2"
"Rasheen Ali","BAL","RB116","5.2","33.4","0.1","1.4","10.2","0.1","0.0","5.1"
"Davis Allen","LAR","TE103","0.0","0.0","0.0","4.1","38.3","0.2","0.0","5.1"
"Irv Smith Jr.","HOU","TE104","0.0","0.0","0.0","4.0","33.8","0.3","0.0","5.0"
"Hunter Luepke","DAL","RB117","4.2","14.5","0.1","3.9","26.6","0.1","0.0","4.9"
"Gage Larvadain","CLE","WR171","0.0","0.0","0.0","3.6","39.1","0.2","0.0","4.8"
"Dee Eskridge","MIA","WR172","0.0","1.7","0.0","3.0","32.8","0.2","0.0","4.7"
"Dylan Laube","LV","RB118","4.0","29.4","0.1","2.0","14.5","0.0","0.0","4.7"
"Ko Kieft","TB","TE105","0.0","0.0","0.0","1.5","16.0","0.5","0.0","4.6"
"Lil'Jordan Humphrey","NYG","WR173","0.0","0.0","0.0","4.0","44.0","0.0","0.0","4.4"
"Mo Alie-Cox","IND","TE106","0.0","0.0","0.0","2.8","31.1","0.2","0.0","4.2"
"Tucker Fisk","LAC","TE107","0.0","0.0","0.0","3.3","31.8","0.2","0.0","4.1"
"Trey Sermon","PIT","RB119","5.0","20.8","0.1","1.6","11.3","0.1","0.0","3.9"
"Carlos Washington Jr.","ATL","RB120","0.0","30.0","0.0","1.0","7.0","0.0","0.0","3.7"
"Tanner Hudson","CIN","TE108","0.0","0.0","0.0","3.0","26.7","0.2","0.0","3.6"
"Nick Nash","ATL","WR174","0.0","0.0","0.0","3.0","35.0","0.0","0.0","3.5"
"DeAndre Carter","CLE","WR175","0.0","3.0","0.0","3.9","39.4","0.0","0.5","3.5"
"Velus Jones Jr.","NO","WR176","2.4","10.5","0.1","1.8","13.5","0.1","0.0","3.4"
"Mitchell Tinsley","CIN","WR177","0.0","0.0","0.0","2.5","28.8","0.1","0.0","3.4"
"Michael Carter","ARI","RB121","0.0","21.0","0.0","1.5","11.0","0.0","0.0","3.2"
"Erick All Jr.","CIN","TE109","0.0","0.0","0.0","2.3","20.9","0.2","0.0","3.1"
"Malachi Corley","CLE","WR178","0.0","2.0","0.0","3.0","29.0","0.0","0.0","3.1"
"Sincere McCormick","SF","RB122","0.0","25.0","0.0","1.0","6.0","0.0","0.0","3.1"
"Trishton Jackson","ARI","WR179","0.0","0.0","0.0","1.7","20.3","0.2","0.0","3.1"
"Konata Mumpfield","LAR","WR180","0.0","0.0","0.0","1.8","21.3","0.2","0.0","3.0"
"Russell Gage Jr.","SF","WR181","0.0","0.0","0.0","3.0","30.0","0.0","0.0","3.0"
"Anthony Gould","IND","WR182","0.0","2.5","0.0","1.8","22.8","0.1","0.0","2.8"
"Tyrell Shavers","BUF","WR183","0.0","0.0","0.0","1.5","20.1","0.1","0.0","2.8"
"Cedrick Wilson Jr.","NO","WR184","0.0","6.0","0.0","2.0","22.0","0.0","0.0","2.8"
"Tyler Scott","IND","WR185","0.0","5.0","0.0","2.0","22.0","0.0","0.0","2.7"
"Ashton Dulin","IND","WR186","0.0","1.7","0.0","1.7","19.5","0.1","0.0","2.7"
"Jack Westover","NE","TE110","0.0","0.0","0.0","1.8","18.1","0.1","0.0","2.6"
"Audric Estime","PHI","RB123","0.0","20.0","0.0","1.0","6.0","0.0","0.0","2.6"
"Josh Williams","TB","RB124","4.5","18.7","0.1","0.0","0.0","0.0","0.0","2.6"
"Feleipe Franks","ATL","QB1","0.0","0.0","0.0","1.8","17.7","0.1","0.0","2.5"
"Beaux Collins","NYG","WR187","0.0","0.0","0.0","1.7","19.1","0.1","0.0","2.5"
"Damien Martinez","SEA","RB125","0.0","17.0","0.0","1.0","7.0","0.0","0.0","2.4"
"James Mitchell","CAR","TE111","0.0","0.0","0.0","1.9","18.0","0.1","0.0","2.3"
"Brycen Tremayne","CAR","WR188","0.0","0.0","0.0","1.6","17.1","0.1","0.0","2.2"
"David Bell","CLE","WR189","0.0","0.0","0.0","2.0","21.0","0.0","0.0","2.1"
"Carson Steele","KC","RB126","0.0","12.0","0.0","1.0","7.0","0.0","0.0","1.9"
"Scott Matlock","LAC","DT1","0.0","0.0","0.0","2.2","14.7","0.1","0.0","1.8"
"Josh Whyle","GB","TE112","0.0","0.0","0.0","1.5","15.5","0.0","0.0","1.6"
"Jack Stoll","NO","TE113","0.0","0.0","0.0","1.5","15.0","0.0","0.0","1.5"
"Isaiah Williams","CIN","WR190","0.0","0.0","0.0","1.0","14.0","0.0","0.0","1.4"
"Tyler Badie","DEN","RB127","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Ryan Miller","TB","WR191","0.0","0.0","0.0","0.8","9.7","0.1","0.0","1.4"
"Xavier Smith","LAR","WR192","2.2","9.6","0.1","1.0","11.0","0.0","0.5","1.3"
"Braxton Berrios","HOU","WR193","0.0","2.5","0.0","1.0","10.5","0.0","0.0","1.3"
"Tank Dell","HOU","WR194","0.0","0.0","0.0","1.0","12.0","0.0","0.0","1.2"
"LaJohntay Wester","BAL","WR195","0.0","0.0","0.0","1.0","12.0","0.0","0.0","1.2"
"Ronnie Rivers","LAR","RB128","0.0","4.0","0.0","1.0","7.0","0.0","0.0","1.1"
"Quintin Morris","JAC","TE114","0.0","0.0","0.0","1.0","10.0","0.0","0.0","1.0"
"Robert Tonyan","KC","TE115","0.0","0.0","0.0","1.0","10.0","0.0","0.0","1.0"
"Nick Vannett","MIN","TE116","0.0","0.0","0.0","1.0","10.0","0.0","0.0","1.0"
"Greg Dulcich","MIA","TE117","0.0","0.0","0.0","1.0","9.5","0.0","0.0","1.0"
"Jeff Wilson Jr.","MIA","RB129","0.0","6.0","0.0","0.5","3.5","0.0","0.0","1.0"
"DeeJay Dallas","CAR","RB130","0.0","8.0","0.0","1.5","11.0","0.0","0.5","0.9"
"Devin Duvernay","CHI","WR196","0.0","6.0","0.0","2.0","23.0","0.0","1.0","0.9"
"Jacob Cowing","SF","WR197","0.0","8.5","0.0","0.0","0.0","0.0","0.0","0.9"
"Sione Vaki","DET","RB131","0.0","4.5","0.0","0.5","3.5","0.0","0.0","0.8"
"JaMycal Hasty","MIA","RB132","0.0","4.0","0.0","0.5","3.5","0.0","0.0","0.8"
"Jason Brownlee","KC","WR198","0.0","0.0","0.0","0.5","7.0","0.0","0.0","0.7"
"Nikko Remigio","KC","WR199","0.0","0.0","0.0","0.5","6.5","0.0","0.0","0.7"
"Harrison Bryant","HOU","TE118","0.0","0.0","0.0","0.5","5.5","0.0","0.0","0.6"
"Michael Burton","DEN","RB133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","TE119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","RB134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","RB135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","RB137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","NE","RB138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","LB1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","TE120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","RB139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","RB140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trayveon Williams","CLE","RB141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nyheim Miller-Hines","LAC","RB142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","RB143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clyde Edwards-Helaire","KC","RB144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CIN","RB145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","WAS","TE121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","TE122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","GB","TE123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Tonges","SF","TE124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner McLachlan","CIN","TE125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","TE126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","TE127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","ARI","TE128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","TE129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","TE130","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","WAS","WR200","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikola Kalinic","CHI","TE131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","PHI","TE132","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","LV","WR201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brayden Willis","SF","TE133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","TE134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Stephens Jr.","DAL","WR202","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brenden Bates","CLE","TE135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Thomas Odukoya","TEN","TE136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"E.J. Jenkins","PHI","TE137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Luke Lachey","HOU","TE138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Caleb Lohner","DEN","TE139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kameron Johnson","TB","WR203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","WR204","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Juwann Winfree","HOU","WR205","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Montgomery","IND","WR206","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Sills","ATL","WR207","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Mingo","DAL","WR208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bub Means","NO","WR209","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tahj Washington","MIA","WR210","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Ford-Wheaton","NYG","WR211","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Cephus","JAC","WR212","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","NYG","WR213","0.0","5.0","0.0","0.0","0.0","0.0","1.0","-1.5"
""
""
