"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Michael Wilson","ARI","45.0","542.1","4.1","1.9","8.9","0.1","0.5","78.8"
"Tyler Lockett","TEN","49.5","573.9","3.4","0.0","0.0","0.0","0.1","77.4"
"Luther Burden III","CHI","45.1","545.7","3.2","3.6","27.2","0.4","1.1","76.4"
"Calvin Austin III","PIT","41.2","549.9","3.5","2.3","11.8","0.1","0.5","76.3"
"Alec Pierce","IND","31.2","538.7","3.5","0.0","0.0","0.0","0.1","74.6"
"Tre' Harris","LAC","40.8","544.6","3.4","0.7","3.8","0.0","0.7","73.9"
"Adam Thielen","MIN","42.9","480.0","4.0","0.0","1.3","0.0","0.5","71.1"
"Quentin Johnston","LAC","34.5","453.3","4.1","1.7","7.3","0.0","0.4","70.0"
"Amari Cooper","LV","39.9","529.7","2.8","0.0","0.0","0.0","0.1","69.6"
"Darius Slayton","NYG","35.6","536.1","2.5","1.4","6.4","0.0","0.2","69.3"
"DeAndre Hopkins","BAL","34.2","436.3","4.2","0.0","0.5","0.0","0.1","68.5"
"Josh Reynolds","NYJ","37.3","485.8","3.2","0.0","0.0","0.0","0.1","67.5"
"Ray-Ray McCloud III","ATL","43.4","477.6","2.6","7.8","53.0","0.2","1.2","67.0"
"Tutu Atwell","LAR","40.0","509.7","2.2","4.3","20.2","0.1","0.1","66.6"
"Nick Westbrook-Ikhine","MIA","31.4","428.3","3.7","0.0","1.3","0.0","0.1","64.7"
"Troy Franklin","DEN","34.9","436.5","3.3","1.1","6.1","0.0","0.1","63.7"
"Tory Horton","SEA","36.8","485.6","2.5","1.0","8.0","0.0","1.0","62.1"
"Jalen Tolbert","DAL","34.9","411.6","3.5","0.0","0.0","0.0","0.1","62.0"
"Dyami Brown","JAC","35.8","456.6","2.5","0.7","6.8","0.0","0.5","60.5"
"Andrei Iosivas","CIN","31.4","380.7","3.7","0.0","0.0","0.0","0.1","59.9"
"Pat Bryant","DEN","34.2","417.0","3.0","0.0","0.0","0.0","0.1","59.8"
"Kayshon Boutte","NE","32.0","429.6","2.7","0.0","0.0","0.0","0.1","58.8"
"Kyle Williams","NE","33.4","427.7","2.5","2.2","13.4","0.0","0.4","58.7"
"Noah Brown","WAS","33.9","436.0","2.2","0.0","0.0","0.0","0.1","56.4"
"Jordan Whittington","LAR","34.1","397.4","2.4","1.1","13.9","0.0","0.1","55.4"
"Elic Ayomanor","TEN","33.4","406.4","2.3","0.0","5.7","0.0","0.1","54.8"
"Tre Tucker","LV","28.5","360.9","2.1","5.6","31.5","0.3","0.1","54.0"
