"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Sam Howell","PHI","0.0","0.0","105.0","1.0","0.5","0.0","7.0","0.0","0.0","8.4"
"Tanner McKee","PHI","11.1","7.1","125.1","0.7","0.4","3.1","8.0","0.0","0.0","8.4"
"Andy Dalton","CAR","14.1","9.5","128.6","0.7","0.7","2.1","8.6","0.0","0.0","8.3"
"Kenny Pickett","LV","13.8","9.0","123.4","0.6","0.3","1.4","8.5","0.0","0.0","7.9"
"Trey Lance","LAC","12.8","7.7","122.2","0.4","0.4","2.2","16.7","0.0","0.0","7.8"
"Brandon Allen","TEN","12.8","8.2","123.8","0.7","0.7","2.1","6.6","0.0","0.0","7.8"
"Mitchell Trubisky","BUF","12.4","8.2","118.4","0.7","0.4","1.8","7.9","0.0","0.0","7.8"
"Teddy Bridgewater","TB","12.2","8.5","120.9","0.7","0.6","1.7","8.0","0.0","0.0","7.8"
"Drew Lock","SEA","11.5","7.5","119.7","0.7","0.7","2.0","8.0","0.0","0.0","7.6"
"Carson Wentz","MIN","14.5","9.4","109.2","0.7","0.6","2.7","11.6","0.0","0.0","7.5"
"Cooper Rush","BAL","11.2","7.6","117.7","0.7","0.3","2.1","10.1","0.0","0.4","7.4"
"Kirk Cousins","ATL","12.8","8.3","130.2","0.7","0.6","1.7","6.3","0.0","0.4","7.3"
"Kyle Allen","DET","13.7","9.2","107.6","0.6","0.1","1.6","1.3","0.0","0.0","6.7"
"Deshaun Watson","CLE","0.0","0.0","99.0","0.5","0.5","0.0","12.0","0.0","0.0","6.7"
"Hendon Hooker","CAR","0.0","0.0","103.5","0.5","0.5","0.0","8.0","0.0","0.0","6.4"
"Quinn Ewers","MIA","0.0","0.0","100.0","0.5","0.5","0.0","7.0","0.0","0.0","6.2"
"Graham Mertz","HOU","8.0","5.5","59.5","0.5","0.0","1.0","4.0","0.0","0.0","4.8"
"Will Howard","PIT","6.0","4.0","44.5","0.5","0.0","1.0","3.0","0.0","0.0","4.1"
"Case Keenum","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skylar Thompson","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Will Levis","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tommy DeVito","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kurtis Rourke","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Riley Leonard","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Siemian","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Huntley","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sam Ehlinger","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bailey Zappe","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Oladokun","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Buechele","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Haener","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clayton Tune","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Miller","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle McCord","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
